测量时间,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,控温,CPU温,环温,环湿,压强
6:58:25,97,6,339,1188,2844,5930,185,6677,24.97,21.01,17.52,38.58,869.04
6:58:25,100,7,353,1229,2936,6104,193,6913,24.97,21.01,17.52,38.58,869.04
6:58:25,103,7,368,1269,3021,6254,199,7098,24.97,21.01,17.52,38.58,869.04
7:02:40,203,58,1006,2778,5989,10982,467,12311,25,22.63,18.07,38.25,869.24
7:02:40,206,60,1029,2827,6094,11130,478,12464,25,22.63,18.07,38.25,869.24
7:02:40,209,62,1056,2881,6190,11270,488,12599,25,22.63,18.07,38.25,869.24
7:04:24,253,104,1429,3616,7506,13128,631,14519,25.03,23.44,18.22,38.31,869.43
7:04:24,257,107,1456,3659,7592,13247,644,14641,25.03,23.44,18.22,38.31,869.43
7:04:24,260,111,1484,3722,7702,13408,657,14801,25.03,23.44,18.22,38.31,869.43
7:08:23,363,275,2510,5453,10533,16960,1049,18337,25.03,24.25,18.79,37.78,869.16
7:08:23,362,279,2529,5465,10564,17034,1065,18430,25.03,24.25,18.79,37.78,869.16
7:08:23,373,293,2618,5629,10850,17431,1099,18963,25.03,24.25,18.79,37.78,869.16
7:10:23,426,412,3197,6516,12188,18981,1311,20324,25.03,25.06,18.84,37.25,869.41
7:10:23,431,422,3245,6587,12322,19125,1336,20522,25.03,25.06,18.84,37.25,869.41
7:10:23,434,431,3278,6631,12369,19188,1349,20588,25.03,25.06,18.84,37.25,869.41
7:12:25,491,581,3900,7510,13650,20561,1581,21864,25.03,25.06,18.58,37.39,869.39
7:12:25,498,594,3947,7572,13767,20722,1606,22091,25.03,25.06,18.58,37.39,869.39
7:12:25,499,602,3971,7602,13803,20739,1618,22076,25.03,25.06,18.58,37.39,869.39
7:14:24,566,787,4646,8499,15057,22045,1877,23121,25.03,24.25,18.41,37.55,869.37
7:14:24,573,802,4697,8571,15180,22207,1907,23359,25.03,24.25,18.41,37.55,869.37
7:14:24,578,819,4748,8637,15282,22339,1936,23555,25.03,24.25,18.41,37.55,869.37
7:16:26,658,1056,5506,9628,16655,23805,2252,24961,25.03,24.25,18.35,37.85,869.59
7:16:26,664,1073,5550,9688,16754,23872,2277,25066,25.03,24.25,18.35,37.85,869.59
7:16:26,670,1089,5587,9727,16820,23958,2302,25231,25.03,24.25,18.35,37.85,869.59
7:18:33,761,1352,6365,10670,18008,25090,2616,26042,25.03,24.25,18.49,37.85,869.6
7:18:33,769,1372,6397,10681,18083,25191,2646,26255,25.03,24.25,18.49,37.85,869.6
7:18:33,780,1402,6485,10828,18267,25456,2688,26536,25.03,24.25,18.49,37.85,869.6
