测量时间,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,控温,CPU温,环温,环湿,压强
06:22:54,0,0,0,0,0,0,0,0,25.23,14.52,12.94,20.30,876.95
06:22:54,0,0,0,0,0,0,0,0,25.23,14.52,12.94,20.30,876.95
06:22:54,0,0,0,0,0,0,0,0,25.23,14.52,12.94,20.30,876.95
06:24:19,0,0,0,0,0,0,0,0,24.91,15.33,12.93,20.34,877.09
06:24:19,0,0,0,0,0,0,0,0,24.91,15.33,12.93,20.34,877.09
06:24:19,0,0,0,0,0,0,0,0,24.91,15.33,12.93,20.34,877.09
06:26:19,0,0,0,0,0,0,0,0,25.00,17.77,12.94,20.41,876.90
06:26:19,0,0,0,0,0,0,0,0,25.00,17.77,12.94,20.41,876.90
06:26:19,0,0,0,0,0,0,0,0,25.00,17.77,12.94,20.41,876.90
06:28:19,0,0,0,0,0,0,0,0,25.00,17.77,12.92,20.44,877.00
06:28:19,0,0,0,0,0,0,0,0,25.00,17.77,12.92,20.44,877.00
06:28:19,0,0,0,0,0,0,0,0,25.00,17.77,12.92,20.44,877.00
06:30:19,0,0,0,0,0,0,0,0,25.00,19.39,12.94,20.58,876.52
06:30:19,0,0,0,0,0,0,0,0,25.00,19.39,12.94,20.58,876.52
06:30:19,0,0,0,0,0,0,0,0,25.00,19.39,12.94,20.58,876.52
06:32:19,0,0,0,0,0,0,0,0,25.03,20.20,13.00,20.72,876.57
06:32:19,0,0,0,0,0,0,0,0,25.03,20.20,13.00,20.72,876.57
06:32:19,0,0,0,0,0,0,0,0,25.03,20.20,13.00,20.72,876.57
06:34:19,0,0,0,0,0,0,0,0,25.03,20.20,13.04,20.72,876.79
06:34:19,0,0,0,0,0,0,0,0,25.03,20.20,13.04,20.72,876.79
06:34:19,0,0,0,0,0,0,0,0,25.03,20.20,13.04,20.72,876.79
06:36:19,0,0,0,0,0,0,0,0,25.00,20.20,13.17,20.68,876.95
06:36:19,0,0,0,0,0,0,0,0,25.00,20.20,13.17,20.68,876.95
06:36:19,0,0,0,0,0,0,0,0,25.00,20.20,13.17,20.68,876.95
06:38:19,0,0,0,0,0,0,0,0,25.03,20.20,13.24,20.58,876.88
06:38:19,0,0,0,0,0,0,0,0,25.03,20.20,13.24,20.58,876.88
06:38:19,0,0,0,0,0,0,0,0,25.03,20.20,13.24,20.58,876.88
06:40:19,0,0,0,0,0,0,0,1,25.00,21.01,13.35,20.51,877.06
06:40:19,0,0,0,0,0,0,0,2,25.00,21.01,13.35,20.51,877.06
06:40:19,0,0,0,0,0,0,0,1,25.00,21.01,13.35,20.51,877.06
06:42:19,0,0,0,0,1,4,0,6,25.00,20.20,13.36,20.51,876.76
06:42:19,0,0,0,0,1,4,0,6,25.00,20.20,13.36,20.51,876.76
06:42:19,0,0,0,0,1,4,0,6,25.00,20.20,13.36,20.51,876.76
06:44:19,0,0,0,0,5,9,0,11,25.00,21.01,13.32,20.51,876.98
06:44:19,0,0,0,0,5,9,0,11,25.00,21.01,13.32,20.51,876.98
06:44:19,0,0,0,0,5,9,0,11,25.00,21.01,13.32,20.51,876.98
06:46:19,0,0,0,3,10,15,0,18,25.00,21.82,13.28,20.58,876.97
06:46:19,0,0,0,3,10,15,0,18,25.00,21.82,13.28,20.58,876.97
06:46:19,0,0,0,3,10,14,0,17,25.00,21.82,13.28,20.58,876.97
06:48:19,0,0,1,5,12,17,0,20,25.03,21.01,13.28,20.58,876.86
06:48:19,0,0,0,5,12,17,0,19,25.03,21.01,13.28,20.58,876.86
06:48:19,0,0,0,4,11,16,0,18,25.03,21.01,13.28,20.58,876.86
06:50:19,0,0,2,7,14,19,0,23,25.00,21.82,13.26,20.58,877.25
06:50:19,0,0,2,6,14,19,0,22,25.00,21.82,13.26,20.58,877.25
06:50:19,0,0,2,6,14,18,0,22,25.00,21.82,13.26,20.58,877.25
06:52:18,0,0,7,13,25,31,4,37,25.03,21.01,13.29,20.58,877.17
06:52:18,0,0,7,13,24,31,4,37,25.03,21.01,13.29,20.58,877.17
06:52:18,0,0,7,13,24,31,4,36,25.03,21.01,13.29,20.58,877.17
06:54:19,0,0,12,21,35,43,8,51,25.00,21.01,13.26,20.58,877.13
06:54:19,0,0,12,21,35,43,8,50,25.00,21.01,13.26,20.58,877.13
06:54:19,0,0,12,21,35,42,8,50,25.00,21.01,13.26,20.58,877.13
06:56:35,16,36,158,225,346,479,148,509,25.03,21.82,13.36,20.51,876.96
06:56:35,16,35,158,225,344,477,147,509,25.03,21.82,13.36,20.51,876.96
06:56:35,16,36,157,223,340,474,146,506,25.03,21.82,13.36,20.51,876.96
06:58:19,0,2,19,30,47,55,14,66,25.03,21.82,13.25,20.51,877.09
06:58:19,0,1,18,28,44,52,12,61,25.03,21.82,13.25,20.51,877.09
06:58:19,0,1,17,26,41,49,11,56,25.03,21.82,13.25,20.51,877.09
07:02:23,0,3,18,29,44,50,14,61,25.00,21.01,12.98,20.58,876.94
07:02:23,0,3,18,28,43,49,13,58,25.00,21.01,12.98,20.58,876.94
07:02:23,0,3,17,27,42,48,12,56,25.00,21.01,12.98,20.58,876.94
07:04:42,32,69,229,297,437,554,191,565,25.03,21.01,12.98,20.58,877.26
07:04:42,35,74,243,315,460,586,202,601,25.03,21.01,12.98,20.58,877.26
07:04:42,37,79,256,333,487,622,214,640,25.03,21.01,12.98,20.58,877.26
07:06:38,120,254,739,956,1402,1850,614,2053,25.00,21.82,13.19,20.37,877.06
07:06:38,121,257,742,959,1407,1854,617,2059,25.00,21.82,13.19,20.37,877.06
07:06:38,122,259,743,960,1406,1854,618,2060,25.00,21.82,13.19,20.37,877.06
07:08:25,142,296,829,1064,1549,2023,694,2238,25.00,21.82,13.30,20.37,876.83
07:08:25,146,305,849,1089,1586,2074,713,2300,25.00,21.82,13.30,20.37,876.83
07:08:25,150,312,867,1111,1616,2118,729,2352,25.00,21.82,13.30,20.37,876.83
07:10:33,147,305,820,1034,1487,1905,681,2084,25.03,21.01,13.33,20.23,877.22
07:10:33,151,312,833,1052,1513,1941,696,2126,25.03,21.01,13.33,20.23,877.22
07:10:33,154,318,849,1073,1543,1983,712,2173,25.03,21.01,13.33,20.23,877.22
07:12:27,176,359,912,1143,1587,2044,765,2208,25.00,21.82,13.38,20.09,877.08
07:12:27,177,360,910,1138,1578,2029,761,2191,25.00,21.82,13.38,20.09,877.08
07:12:27,178,361,909,1136,1572,2022,758,2180,25.00,21.82,13.38,20.09,877.08
07:14:19,3,13,38,50,70,80,29,86,25.03,21.01,13.44,19.82,877.14
07:14:19,2,11,34,44,63,72,25,76,25.03,21.01,13.44,19.82,877.14
07:14:19,2,10,31,39,56,65,22,69,25.03,21.01,13.44,19.82,877.14
07:16:18,0,3,14,18,26,28,7,28,25.00,21.01,13.40,19.68,877.14
07:16:18,0,3,15,17,26,28,7,27,25.00,21.01,13.40,19.68,877.14
07:16:18,0,3,14,18,26,28,7,27,25.00,21.01,13.40,19.68,877.14
07:18:18,6,21,44,54,72,69,27,72,25.03,20.20,13.39,19.61,877.21
07:18:18,7,22,47,57,76,73,29,76,25.03,20.20,13.39,19.61,877.21
07:18:18,8,23,49,60,79,76,30,80,25.03,20.20,13.39,19.61,877.21
07:20:23,472,885,2047,2461,3403,4176,1720,4483,25.03,21.01,13.47,19.36,876.81
07:20:23,499,938,2152,2583,3575,4399,1815,4748,25.03,21.01,13.47,19.36,876.81
07:20:23,521,981,2237,2682,3707,4559,1883,4928,25.03,21.01,13.47,19.36,876.81
07:23:05,618,1142,2536,3011,4134,5025,2116,5389,25.00,21.01,13.73,19.19,877.16
07:23:05,627,1158,2562,3040,4169,5073,2139,5451,25.00,21.01,13.73,19.19,877.16
07:23:05,633,1171,2581,3061,4193,5111,2157,5497,25.00,21.01,13.73,19.19,877.16
07:24:26,671,1217,2665,3145,4286,5173,2218,5515,25.03,21.01,13.89,19.05,877.46
07:24:26,686,1246,2712,3200,4359,5269,2265,5635,25.03,21.01,13.89,19.05,877.46
07:24:26,702,1278,2771,3266,4443,5379,2315,5762,25.03,21.01,13.89,19.05,877.46
07:26:25,833,1495,3192,3741,5069,6082,2677,6481,25.03,21.01,14.12,18.67,877.47
07:26:25,860,1545,3284,3848,5214,6271,2765,6695,25.03,21.01,14.12,18.67,877.47
07:26:25,890,1602,3389,3968,5369,6466,2852,6916,25.03,21.01,14.12,18.67,877.47
07:28:26,416,722,1538,1760,2383,2754,1242,2792,25.03,21.01,14.31,18.49,877.28
07:28:26,365,639,1326,1503,2024,2325,1047,2368,25.03,21.01,14.31,18.49,877.28
07:28:26,318,559,1139,1281,1718,1957,881,1994,25.03,21.01,14.31,18.49,877.28
07:30:26,942,1643,3332,3831,5121,6045,2776,6404,25.00,21.82,14.44,18.21,877.60
