测量时间,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,控温,CPU温,环温,环湿,压强
7:03:14,65,18,381,1014,2156,3518,121,4002,25,24.25,18.09,55.54,871.19
7:03:14,67,19,393,1042,2206,3608,125,4115,25,24.25,18.09,55.54,871.19
7:03:14,68,20,405,1068,2260,3695,129,4224,25,24.25,18.09,55.54,871.19
7:04:24,81,32,502,1283,2675,4376,163,5017,25,23.44,18.08,55.54,871.09
7:04:24,83,33,516,1309,2723,4464,168,5108,25,23.44,18.08,55.54,871.09
7:04:24,84,35,527,1330,2771,4534,172,5174,25,23.44,18.08,55.54,871.09
7:08:22,141,105,1036,2282,4434,6705,312,7490,25,23.44,18.16,55.48,871.38
7:08:22,144,108,1050,2303,4476,6758,317,7563,25,23.44,18.16,55.48,871.38
7:08:22,145,111,1069,2338,4529,6840,324,7653,25,23.44,18.16,55.48,871.38
7:10:24,176,164,1359,2820,5319,7781,404,8599,25.03,23.44,18.26,55.39,871.39
7:10:24,178,168,1379,2856,5381,7867,412,8721,25.03,23.44,18.26,55.39,871.39
7:10:24,180,173,1402,2890,5444,7948,420,8827,25.03,23.44,18.26,55.39,871.39
7:12:24,219,250,1788,3492,6393,9008,525,9878,25,23.44,18.36,55.17,871.27
7:12:24,222,256,1811,3524,6457,9111,535,10010,25,23.44,18.36,55.17,871.27
7:12:24,224,263,1837,3567,6524,9203,545,10119,25,23.44,18.36,55.17,871.27
7:14:24,270,363,2267,4190,7484,10225,664,11129,25.03,24.25,18.51,54.98,871.49
7:14:24,274,372,2299,4241,7539,10335,676,11247,25.03,24.25,18.51,54.98,871.49
7:14:24,277,382,2328,4279,7636,10469,691,11404,25.03,24.25,18.51,54.98,871.49
7:16:29,336,520,2849,5009,8731,11630,845,12601,25,23.44,18.68,54.79,871.3
7:16:29,339,530,2878,5046,8792,11732,859,12730,25,23.44,18.68,54.79,871.3
7:16:29,342,541,2914,5095,8871,11864,874,12875,25,23.44,18.68,54.79,871.3
7:18:33,408,692,3376,5759,9799,12805,1004,13059,25,24.25,18.81,54.57,871.58
7:18:33,414,708,3428,5836,9915,12941,1022,13319,25,24.25,18.81,54.57,871.58
